Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Apple, candied",Apples,134,66.3,24.17,3.6,39,29.61,1.34,62,0.25,0.025,0.12,8,37,134,0.14,2.15,0.64,1.8
"Plantain, cooked, no added fat",Other starchy vegetables,122,65.01,17.46,15.6,3,31.8,1.3,120,0.0,0.07400000000000001,0.55,36,32,486,0.19,0.35,0.0,1.7
"Plantain, cooked with oil",Other starchy vegetables,144,63.12,16.95,15.1,3,30.87,1.26,116,0.34,0.07200000000000001,0.54,35,31,471,0.18,3.24,0.397,1.6
"Ripe plantain, raw",Other starchy vegetables,122,65.2,17.51,18.4,3,31.89,1.3,4,0.0,0.07400000000000001,0.55,36,32,487,0.19,0.35,0.0,1.7
"Plantain, cooked, fat added, NS as to fat type",Other starchy vegetables,141,63.45,16.95,15.1,3,30.88,1.27,126,0.3,0.07200000000000001,0.54,35,31,472,0.18,2.88,0.721,1.6
"Plantain, cooked with butter or margarine",Other starchy vegetables,137,63.78,16.95,15.1,4,30.88,1.27,136,0.25,0.07200000000000001,0.53,35,32,472,0.18,2.51,1.045,1.6
"Green banana, cooked in salt water",Other starchy vegetables,122,65.01,17.46,15.6,3,31.8,1.3,120,0.0,0.07400000000000001,0.55,36,32,486,0.19,0.35,0.0,1.7
"Green banana, fried",Other starchy vegetables,144,63.12,16.95,15.1,3,30.87,1.26,116,0.34,0.07200000000000001,0.54,35,31,471,0.18,3.24,0.397,1.6
"Cassava, cooked",Other starchy vegetables,191,54.95,1.77,18.2,17,39.62,1.42,146,0.52,0.10400000000000001,0.28,22,28,282,0.36,3.02,0.852,1.9
"Yam, cooked, Puerto Rican",Other starchy vegetables,116,69.92,0.49,12.1,14,27.4,1.49,124,0.34,0.152,0.52,18,49,668,0.2,0.14,0.028999999999999998,3.9
"Tannier, cooked",Other starchy vegetables,141,66.36,0.42,4.0,45,27.55,1.57,143,2.8,0.179,0.57,34,88,616,0.24,2.94,0.818,4.3
"Celeriac, cooked",Other starchy vegetables,68,84.43,1.67,7.1,45,9.58,1.57,235,0.69,0.073,0.73,21,120,313,0.34,3.04,0.857,1.9
"Dasheen, cooked",Other starchy vegetables,141,66.36,0.42,4.0,45,27.55,1.57,143,2.8,0.179,0.57,34,88,616,0.24,2.94,0.818,4.3
